id,week,team,points,talent,home,totalYards,rushingYards,netPassingYards,yardsPerPass,yardsPerRushAttempt,firstDowns,turnovers,defensiveTDs,sacks,kickReturnYards,kickReturnTDs
401110723,1,Florida,24,835.68,1,304,50,254,9.4,1.8,17,4,0,20,44,0
401112497,10,Florida State,10,878.07,1,203,31,172,6.1,0.8,15,2,0,2,23,0
401112443,2,North Carolina,28,697.75,1,389,97,292,11.7,2.7,22,0,0,4,0,0
401112494,9,Pittsburgh,12,637.95,1,322,176,146,4.6,4.2,16,3,0,2,13,0
401112523,14,Duke,27,633.24,1,287,131,156,6.2,2.7,14,1,0,9,112,0
401112517,13,Florida International,30,532.88,1,297,137,160,5.3,4.7,17,0,0,0.5,24,0
401110775,2,Florida,45,835.68,1,543,231,312,8.7,6.1,26,0,0,5,34,0
401110858,13,Kentucky,50,672.74,1,479,462,17,1.5,10.3,16,2,0,6,17,0
401110799,4,Florida,34,835.68,1,441,128,313,9.2,3.5,25,3,0,4,0,0
401110846,11,Kentucky,13,672.74,1,327,302,25,3.6,4.7,21,1,0,1,19,0
401110824,8,Alabama,35,984.96,1,373,140,233,9.7,4.1,23,1,2,6,43,0
401110861,13,Missouri,20,642.83,1,280,99,181,6.2,2.7,16,0,0,1,0,0
401110809,5,Florida,38,835.68,1,422,160,262,9.4,5.0,23,0,0,8,11,0
401110812,6,Florida,24,835.68,1,398,132,266,6.8,4.0,19,4,0,2,0,0
401110804,4,Texas A&M,20,848.89,1,391,56,335,6.8,2.7,23,1,0,2,20,0
401110825,8,Arkansas,10,707.72,1,234,52,182,4.6,1.9,14,4,0,2,55,0
401110833,9,LSU,23,906.17,1,508,187,321,7.6,4.1,30,2,0,3,0,0
401110838,10,Florida,17,835.68,1,278,21,257,7.8,1.1,18,0,0,0,18,0
401110816,6,Tennessee,14,830.34,1,343,70,273,8.3,2.4,20,2,0,0,0,0
401110732,1,Vanderbilt,6,605.06,1,225,116,109,3.4,3.9,17,1,0,0,35,0
401110849,12,Auburn,14,843.93,1,329,84,245,4.9,2.3,22,1,0,1,0,0
401132981,15,LSU,37,906.17,1,481,132,349,9.2,3.7,26,0,0,3,0,0
401110867,14,Georgia Tech,7,629.1,1,139,99,40,1.9,2.7,7,1,0,1,34,0
401110844,11,Florida,56,835.68,1,560,150,410,10.3,5.2,33,2,1,6,0,0
401110871,14,Tennessee,28,830.34,1,417,297,120,7.1,7.2,16,1,0,3,0,0
401110785,2,Purdue,42,607.4,1,540,31,509,9.8,1.7,27,1,0,6,51,0
401110839,10,South Carolina,24,762.68,1,440,205,235,7.6,4.2,25,1,0,2,25,0
401110814,6,Ole Miss,31,717.92,1,512,413,99,5.5,9.4,15,0,0,6,0,0
401110866,14,Florida,40,835.68,1,467,77,390,8.1,3.1,26,0,0,8,40,0
401112479,7,Clemson,45,863.03,1,552,320,232,6.1,6.0,31,2,2,3,0,0
401112487,8,Wake Forest,22,563.24,1,424,116,308,8.1,2.9,20,0,0,4,16,0
401112502,11,Boston College,31,564.95,1,508,281,227,7.8,4.4,31,1,0,0,77,0
401112451,3,Virginia,31,580.28,1,415,120,295,7.4,3.8,27,2,0,3,35,0
401114164,1,Hawai'i,45,420.99,1,595,159,436,9.1,5.3,31,6,0,4,65,0
401114163,14,Arizona State,24,686.44,1,338,234,104,5.5,4.3,23,0,0,1,0,0
401114167,6,Colorado,30,614.27,1,496,159,337,7.7,4.3,26,0,0,0,0,0
401114170,9,Stanford,41,787.59,1,472,160,312,7.3,5.2,26,0,0,6,79,0
401114169,8,USC,41,915.56,1,448,201,247,8.2,5.6,16,1,0,7,25,0
401114172,12,Oregon,34,817.7,1,471,138,333,11.9,3.5,21,1,0,6,0,0
401114200,2,Hawai'i,31,420.99,1,488,67,421,8.1,2.7,29,2,0,1,115,0
401114178,8,California,17,611.58,1,282,107,175,5.3,2.5,20,1,0,10,48,0
401114206,13,Washington State,54,556.27,1,641,35,606,8.7,2.7,35,5,0,1,39,0
401114203,6,UCLA,31,741.4,1,492,256,236,5.8,5.3,27,0,0,2,23,0
401114199,14,Oregon,24,817.7,1,365,191,174,5.8,5.2,19,1,1,1,121,1
401114171,10,Arizona,38,570.07,1,526,148,378,9.2,3.1,33,0,0,3,52,0
401117511,4,Hawai'i,35,420.99,1,413,113,300,9.4,4.7,23,4,2,2,53,0
401114246,1,Western Kentucky,28,486.97,1,488,184,304,7.8,5.3,22,2,0,3,87,0
401117525,8,Hawai'i,26,420.99,1,486,82,404,7.6,4.1,26,2,0,0,136,0
401114185,3,Colorado,23,614.27,1,325,105,220,5.1,3.3,19,1,0,0,17,0
401117516,6,Navy,34,335.4,1,376,214,162,20.3,4.3,16,3,2,4,89,0
401183793,13,New Mexico,22,401.9,1,358,268,90,5.0,6.2,19,1,0,0,142,0
401117506,4,Boise State,30,561.42,1,355,95,260,9.3,3.3,17,0,0,2,33,0
401117544,12,Colorado State,21,518.83,1,386,39,347,8.1,1.3,22,2,1,0,54,0
401117537,10,Hawai'i,38,420.99,1,555,209,346,6.8,6.7,25,1,0,0,116,0
401117557,14,San José State,17,433.33,1,402,112,290,8.5,3.3,15,0,0,2,0,0
401117520,7,Air Force,43,151.86,1,421,340,81,27.0,4.9,28,0,2,1,0,0
401117547,12,San Diego State,17,504.19,1,425,102,323,6.9,2.8,24,2,0,2,26,0
401114218,1,USC,31,915.56,1,447,175,272,6.5,4.9,25,4,2,3,168,1
401114341,5,New Mexico State,17,269.79,1,315,105,210,4.5,4.8,17,3,0,1,13,0
401117543,11,Hawai'i,42,420.99,1,509,200,309,9.7,5.7,26,1,0,1,69,0
401114330,9,Army,29,265.19,1,429,326,103,7.9,4.7,28,1,0,0,64,0
401117524,7,Nevada,41,461.96,1,541,189,352,9.5,3.7,25,3,2,0,93,0
401117512,5,Air Force,41,151.86,1,513,382,131,13.1,5.5,24,2,0,1,11,0
401110798,4,Arkansas,24,707.72,1,487,131,356,7.1,4.1,26,5,0,2,61,0
401117553,13,UNLV,38,462.72,1,455,252,203,5.6,6.6,21,1,0,0,19,0
401117552,13,Hawai'i,14,420.99,1,347,132,215,6.1,4.3,24,1,0,0,6,0
401117529,8,San José State,17,433.33,1,272,54,218,6.1,3.2,15,1,0,4,17,0
401117534,9,UNLV,17,462.72,1,376,121,255,6.5,3.7,18,0,0,2,0,0
401117518,6,Colorado State,10,518.83,1,235,18,217,6.8,0.7,12,4,0,4,0,0
401114214,2,UCLA,14,741.4,1,261,62,199,5.7,1.9,16,2,0,4,9,0
401114339,3,New Mexico State,10,269.79,1,329,30,299,7.3,1.3,17,4,0,0,0,0
401114334,14,Hawai'i,52,420.99,1,492,133,359,8.8,7.0,25,0,1,2,73,0
401114285,7,Western Kentucky,17,486.97,1,365,225,140,4.7,4.4,26,0,0,0,16,0
401114331,10,Air Force,17,151.86,1,344,328,16,2.0,6.0,17,1,0,1,23,0
401114335,15,Navy,31,335.4,1,396,395,1,1.0,7.2,17,0,0,2,0,0
401114261,3,UT San Antonio,13,471.36,1,260,51,209,6.3,1.9,13,3,0,2,100,0
401112223,2,Michigan,24,853.4,1,340,108,232,7.5,2.4,23,3,0,1,70,0
401114329,8,Georgia State,28,369.05,1,379,147,232,8.3,4.6,23,1,0,0,0,0
401119255,1,Buffalo,38,284.74,1,354,285,69,6.9,6.1,21,1,0,4,41,0
401117870,4,Buffalo,38,284.74,1,279,217,62,4.1,3.7,17,2,1,3,0,0
401117907,13,Cincinnati,15,576.61,1,210,148,62,2.5,3.4,14,1,0,1,0,0
401117899,11,South Florida,7,559.66,1,286,61,225,5.9,1.6,20,2,0,2,12,0
401117874,6,East Carolina,17,468.23,1,327,98,229,5.9,2.9,21,0,0,4,31,0
401117887,8,SMU,45,565.15,1,655,198,457,8.5,3.6,33,1,0,6,41,0
401119274,6,Buffalo,20,284.74,1,378,181,197,8.6,4.2,19,1,0,8,0,0
401119306,13,Bowling Green,24,315.44,1,418,168,250,7.4,4.0,25,5,0,0,65,0
401119292,9,Ball State,21,327.92,1,351,242,109,5.5,6.9,16,1,0,0,124,0
401114259,3,Marshall,33,489.63,1,511,305,206,7.4,6.6,24,0,0,0,23,0
401112445,2,Pittsburgh,20,637.95,1,481,160,321,8.7,4.3,22,0,0,6,20,0
401119310,14,Akron,3,312.81,1,74,41,33,1.2,1.6,7,2,0,2,85,0
401119289,9,Buffalo,43,284.74,1,376,197,179,7.2,3.6,23,1,2,4,0,0
401119282,8,Bowling Green,20,315.44,1,344,178,166,5.7,4.8,19,3,2,0,51,0
401119304,12,Ball State,44,327.92,1,499,231,268,10.7,4.9,22,1,0,1,143,0
401119271,5,Western Michigan,31,452.05,1,432,188,244,8.4,5.1,22,1,0,6,22,0
401112268,2,Wisconsin,61,675.8,1,599,199,400,10.3,4.6,37,1,0,1,0,0
401112458,4,Miami,17,815.12,1,301,51,250,10.4,1.5,16,1,0,4,21,0
401119308,13,Buffalo,49,284.74,1,503,331,172,8.6,6.2,22,0,0,4,21,0
401119280,7,Bowling Green,20,315.44,1,425,240,185,8.8,5.9,17,1,0,5,46,0
401119315,14,Central Michigan,49,416.63,1,552,289,263,12.0,6.1,30,0,0,1,18,0
401110724,1,Kentucky,38,672.74,1,422,176,246,9.5,4.5,20,2,0,4,62,0
401119285,8,Ball State,52,327.92,1,580,374,206,12.1,7.5,24,1,0,8,35,0
401117507,4,Colorado State,35,518.83,1,694,289,405,7.5,8.0,36,1,0,0,55,0
401119312,14,Buffalo,49,284.74,1,586,455,131,8.7,8.9,23,0,0,0,16,0
401119288,9,Western Michigan,49,452.05,1,574,399,175,7.3,7.0,30,0,0,6,81,0
401112107,2,Kansas State,52,543.49,1,521,333,188,9.9,5.7,25,1,0,1,44,0
401119266,4,Kent State,62,313.22,1,750,375,375,10.4,7.8,34,0,0,2,32,0
401119301,12,Miami (OH),44,359.14,1,425,187,238,14.9,5.2,17,2,1,0,27,0
401114337,6,Notre Dame,52,843.29,1,573,233,340,12.6,6.9,27,0,0,2,0,0
401119254,1,Bowling Green,46,315.44,1,620,326,294,7.7,5.2,37,1,0,8,60,0
401114327,4,Army,52,265.19,1,483,403,80,11.4,5.8,30,2,0,0,47,0
401114258,3,Bowling Green,7,315.44,1,290,119,171,4.5,2.5,15,1,0,10,142,0
401114315,13,UAB,20,441.81,1,353,166,187,8.1,3.8,17,1,0,2,53,0
401114309,12,Marshall,31,489.63,1,405,192,213,8.2,4.3,22,1,0,1,17,0
401112135,1,Texas,45,877.91,1,454,153,301,7.0,5.1,24,1,0,1,53,0
401114296,9,UTEP,21,355.31,1,325,98,227,7.6,2.9,20,3,0,2,111,0
401114268,5,Rice,20,397.04,1,338,190,148,5.7,4.0,19,1,0,6,36,0
401119293,10,Bowling Green,35,315.44,1,276,156,120,5.7,2.5,17,1,0,6,5,0
401119263,3,Central Michigan,45,416.63,1,533,189,344,10.8,5.6,21,1,0,8,19,0
401112145,1,Illinois,42,661.73,1,401,207,194,7.8,4.5,22,0,0,12,10,0
401119287,9,Northern Illinois,49,397.98,1,345,274,71,7.9,4.4,21,1,1,4,0,0
401119307,13,Miami (OH),20,359.14,1,355,238,117,5.3,4.6,19,2,0,12,66,0
401114356,5,UMass,37,358.88,1,433,220,213,6.5,5.2,24,1,2,2,26,0
401117855,1,Connecticut,24,412.55,1,392,234,158,7.5,3.9,26,2,0,4,14,0
401114263,4,Florida Atlantic,42,524.02,1,507,120,387,10.2,3.9,27,0,0,1,36,0
401112146,2,Connecticut,23,412.55,1,285,10,275,8.9,0.3,16,3,1,4,28,0
401112149,6,Minnesota,40,621.36,1,487,332,155,9.1,6.4,24,2,0,3,22,0
401112154,11,Michigan State,34,688.74,1,526,275,251,7.0,5.4,27,4,0,3,31,0
401112155,13,Iowa,19,637.65,1,387,79,308,8.8,2.5,16,1,0,3,16,0
401112152,9,Purdue,6,607.4,1,271,135,136,4.1,3.1,17,2,0,2,38,0
401117876,6,Connecticut,22,412.55,1,293,84,209,7.2,2.3,18,1,0,8,171,0
401117912,14,UCF,34,598.57,1,539,232,307,7.7,5.5,28,0,0,1,26,0
401117883,8,Navy,35,335.4,1,457,434,23,5.8,7.4,23,3,0,10,0,0
401112441,2,Georgia Tech,14,629.1,1,257,181,76,3.6,3.7,21,2,0,4,34,0
401117892,9,East Carolina,20,468.23,1,324,102,222,7.7,2.7,22,2,1,0,144,1
401117886,8,Connecticut,17,412.55,1,438,168,270,6.1,5.4,23,1,0,3,28,0
401117895,10,UCF,44,598.57,1,468,164,304,9.5,6.1,16,1,0,5,2,0
401117869,4,Tulane,38,486.98,1,511,325,186,9.3,6.5,23,1,0,3,87,0
401114270,5,North Texas,25,457.24,1,456,96,360,6.2,3.2,20,0,0,4,71,0
401112114,1,Oklahoma,49,869.53,1,686,354,332,13.8,9.6,30,2,0,6,37,0
401117910,13,Tulsa,14,424.54,1,380,-1,381,8.5,0.0,18,4,0,1,35,0
401117894,10,Connecticut,10,412.55,1,313,108,205,6.0,2.8,21,3,0,1,98,0
401117871,5,Memphis,35,551.97,1,301,105,196,10.9,4.2,12,1,1,2,187,1
401117916,14,Houston,41,597.62,1,527,134,393,11.2,4.5,21,5,0,2,0,0
