id,week,team,points,talent,outcome,spread,opponent,home,win,cover,totalYards,rushingYards,netPassingYards,yardsPerPass,yardsPerRushAttempt,firstDowns,turnovers,interceptions,fumblesLost,defensiveTDs,tacklesForLoss,sacks,qbHurries,kickReturnYards,kickReturnTDs,test,wins,games,win_pct,points_MA,MOV_MA,totalYards_MA,rushYards_MA,passYards_MA,YardsPerPass_MA,YardsPerRush_MA,firstDowns_MA,turnovers_MA,interceptions_MA,fumbles_MA,defensiveTDs_MA,TFLs_MA,qbHurries_MA,sacks_MA,kickReturnYards_MA,kickReturnTDs_MA,team_opp,points_opp,talent_opp,outcome_opp,spread_opp,opponent_opp,home_opp,win_opp,cover_opp,totalYards_opp,rushingYards_opp,netPassingYards_opp,yardsPerPass_opp,yardsPerRushAttempt_opp,firstDowns_opp,turnovers_opp,interceptions_opp,fumblesLost_opp,defensiveTDs_opp,tacklesForLoss_opp,sacks_opp,qbHurries_opp,kickReturnYards_opp,kickReturnTDs_opp,test_opp,wins_opp,games_opp,win_pct_opp,points_MA_opp,MOV_MA_opp,totalYards_MA_opp,rushYards_MA_opp,passYards_MA_opp,YardsPerPass_MA_opp,YardsPerRush_MA_opp,firstDowns_MA_opp,turnovers_MA_opp,interceptions_MA_opp,fumbles_MA_opp,defensiveTDs_MA_opp,TFLs_MA_opp,qbHurries_MA_opp,sacks_MA_opp,kickReturnYards_MA_opp,kickReturnTDs_MA_opp,def_points_MA,def_MOV_MA,def_totalYards_MA,def_rushYards_MA,def_passYards_MA,def_YardsPerRush_MA,def_YardsPerPass_MA,def_firstDowns_MA,def_turnovers_MA,def_interceptions_MA,def_fumbles_MA,def_defensiveTDs_MA,def_sacks_MA,def_TFLs_MA,def_qbHurries_MA,def_kickReturnYards_MA,def_kickReturnTDs_MA,team_opp,opponent_opp,def_points_MA_opp,def_MOV_MA_opp,def_totalYards_MA_opp,def_rushYards_MA_opp,def_passYards_MA_opp,def_YardsPerRush_MA_opp,def_YardsPerPass_MA_opp,def_firstDowns_MA_opp,def_turnovers_MA_opp,def_interceptions_MA_opp,def_fumbles_MA_opp,def_defensiveTDs_MA_opp,def_sacks_MA_opp,def_TFLs_MA_opp,def_qbHurries_MA_opp,def_kickReturnYards_MA_opp,def_kickReturnTDs_MA_opp
401110723,1,Florida,24,835.68,-4,-7.0,Miami,1,1,0,304,50,254,9.4,1.8,17,4,2,2,0,16,20,5,44,0,1,,,,,,,,,,,,,,,,,,,,,Miami,20,815.12,-4,-7.0,Florida,0,0,1,301,87,214,7.1,2.4,20,1,0,1,0,6,2,3,32,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miami,Florida,,,,,,,,,,,,,,,,,
401112497,10,Florida State,10,878.07,17,-3.0,Miami,1,0,0,203,31,172,6.1,0.8,15,2,2,0,0,5,2,5,23,0,1,4.0,8.0,0.5,25.0,17.25,389.5,141.5,248.0,6.599999999999999,3.7499999999999996,21.5,1.5,1.0,0.5,0.0,8.0,3.0,2.75,33.5,0.0,Miami,27,815.12,17,-3.0,Florida State,0,1,1,353,40,313,8.5,1.7,13,1,0,1,0,16,9,2,13,0,1,4.0,8.0,0.5,22.25,-2.5,348.25,97.0,251.25,6.625000000000002,3.5750000000000006,18.5,1.75,1.25,0.5,0.0,10.5,4.75,4.25,24.75,0.0,24.25,13.4375,422.25,179.0,243.25,3.949999999999999,6.050000000000002,24.0,1.0,0.25,0.75,0.5,4.75,9.5,5.25,4.0,0.0,Miami,Florida State,22.75,5.1875,332.5,152.5,180.0,3.6999999999999997,6.775000000000001,18.0,1.25,0.5,0.75,0.0,6.25,6.625,5.5,40.25,0.0
401112443,2,North Carolina,28,697.75,-3,5.0,Miami,1,1,1,389,97,292,11.7,2.7,22,0,0,0,0,8,4,14,0,0,1,1.0,1.0,1.0,24.0,4.0,483.0,238.0,245.0,10.2,4.6,23.0,1.0,0.0,1.0,0.0,7.0,8.0,3.0,13.0,0.0,Miami,25,815.12,-3,5.0,North Carolina,0,0,0,488,179,309,7.9,4.8,27,0,0,0,0,20,8,2,15,0,1,0.0,1.0,0.0,20.0,4.0,301.0,87.0,214.0,7.1,2.4,20.0,1.0,0.0,1.0,0.0,6.0,3.0,2.0,32.0,0.0,20.0,,270.0,128.0,142.0,4.1,4.7,15.0,2.0,2.0,0.0,0.0,6.0,6.0,2.0,100.0,0.0,Miami,North Carolina,24.0,,304.0,50.0,254.0,1.8,9.4,17.0,4.0,2.0,2.0,0.0,20.0,16.0,5.0,44.0,0.0
401112494,9,Pittsburgh,12,637.95,4,-4.5,Miami,1,0,0,322,176,146,4.6,4.2,16,3,2,1,0,2.5,2,5,13,0,1,5.0,7.0,0.7142857142857143,28.0,-1.5,399.0,145.5,253.5,6.175,3.7749999999999995,24.5,2.0,0.75,1.25,0.75,14.0,11.0,6.75,35.25,0.0,Miami,16,815.12,4,-4.5,Pittsburgh,0,1,1,208,54,154,4.8,2.0,12,1,1,0,0,7,4,6,27,0,1,3.0,7.0,0.42857142857142855,22.5,-0.25,371.5,96.25,275.25,8.025000000000002,3.4500000000000006,19.5,1.75,1.0,0.75,0.0,13.25,5.25,4.25,23.25,0.0,24.5,8.527777777777777,302.25,75.5,226.75,2.0500000000000007,5.524999999999999,18.75,2.0,1.25,0.75,0.25,2.0,6.5,9.0,33.75,0.0,Miami,Pittsburgh,22.75,13.8125,314.0,116.25,197.75,2.925,6.700000000000002,19.25,1.25,0.25,1.0,0.0,7.75,8.25,5.0,54.5,0.0
401112523,14,Duke,27,633.24,-10,9.5,Miami,1,1,1,287,131,156,6.2,2.7,14,1,0,1,0,11,9,6,112,0,1,4.0,11.0,0.36363636363636365,14.25,-14.75,273.75,111.0,162.75,4.899999999999999,3.175,16.0,3.0,1.5,1.5,0.5,5.75,4.0,1.75,121.0,0.5,Miami,17,815.12,-10,9.5,Duke,0,0,0,259,98,161,4.6,2.4,15,1,0,1,0,10,6,0,98,0,1,6.0,11.0,0.5454545454545454,29.75,2.5,355.75,113.75,242.0,7.8000000000000025,3.800000000000001,18.0,1.25,1.0,0.25,0.0,10.0,3.0,4.0,55.0,0.0,36.5,9.9375,474.5,274.25,200.25,5.749999999999999,8.15,21.25,1.25,1.0,0.25,0.25,5.0,7.25,3.25,31.0,0.0,Miami,Duke,19.75,7.4375,329.5,128.0,201.5,3.6250000000000004,6.825,16.5,2.0,1.5,0.5,0.0,1.375,3.75,4.0,48.25,0.0
401112517,13,Florida International,30,532.88,-6,21.0,Miami,1,1,1,297,137,160,5.3,4.7,17,0,0,0,0,1.5,0.5,3,24,0,1,4.0,9.0,0.4444444444444444,20.0,21.25,336.75,130.75,206.0,7.124999999999998,3.9249999999999994,16.75,1.5,0.25,1.25,0.0,6.0,3.5,1.5,52.75,0.0,Miami,24,815.12,-6,21.0,Florida International,0,0,0,413,164,249,6.9,5.3,26,3,3,0,0,3,0,1,76,0,1,6.0,10.0,0.6,29.0,-0.75,341.75,112.0,229.75,7.700000000000002,3.700000000000001,16.75,0.75,0.25,0.5,0.0,13.25,3.5,5.5,43.25,0.0,30.25,2.8125,397.75,232.0,165.75,4.999999999999999,5.550000000000001,19.75,0.75,0.5,0.25,0.0,1.0,8.75,4.75,26.5,0.0,Miami,Florida International,19.25,3.875,341.5,145.5,196.0,3.6,7.325000000000001,16.75,2.25,1.5,0.75,0.0,2.0,4.875,5.25,44.25,0.0
401110775,2,Florida,45,835.68,-45,-44.5,UT Martin,1,1,1,543,231,312,8.7,6.1,26,0,0,0,0,10,5,0,34,0,1,1.0,1.0,1.0,24.0,4.0,304.0,50.0,254.0,9.4,1.8,17.0,4.0,2.0,2.0,0.0,16.0,5.0,20.0,44.0,0.0,UT Martin,0,93.72,-45,-44.5,Florida,0,0,0,194,54,140,6.1,2.0,8,1,1,0,0,1,1,2,38,0,1,,,,,,,,,,,,,,,,,,,,,20.0,,301.0,87.0,214.0,2.4,7.1,20.0,1.0,0.0,1.0,0.0,2.0,6.0,3.0,32.0,0.0,UT Martin,Florida,,,,,,,,,,,,,,,,,
401110858,13,Kentucky,50,672.74,-43,-30.5,UT Martin,1,1,1,479,462,17,1.5,10.3,16,2,1,1,0,11,6,4,17,0,1,5.0,10.0,0.5,20.0,3.75,348.0,290.0,58.0,5.2749999999999995,5.625,18.75,1.25,0.25,1.0,0.0,3.25,1.25,2.25,23.5,0.0,UT Martin,7,93.72,-43,-30.5,Kentucky,0,0,0,204,-12,216,5.7,-0.4,14,3,1,2,0,3,0,1,50,0,1,0.0,1.0,0.0,0.0,45.0,194.0,54.0,140.0,6.1,2.0,8.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,38.0,0.0,14.75,14.375,263.25,137.75,125.5,4.325000000000001,5.225,13.5,1.0,0.25,0.75,0.25,1.25,5.5,0.0,3.0,0.0,UT Martin,Kentucky,45.0,4.0,543.0,231.0,312.0,6.1,8.7,26.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,34.0,0.0
401110799,4,Florida,34,835.68,-31,-13.5,Tennessee,1,1,1,441,128,313,9.2,3.5,25,3,2,1,0,4,4,0,0,0,1,3.0,3.0,1.0,32.666666666666664,13.666666666666666,428.3333333333333,139.66666666666666,288.6666666666667,9.366666666666667,4.333333333333333,21.333333333333332,2.0,1.0,1.0,0.0,10.666666666666666,3.6666666666666665,8.666666666666666,26.0,0.0,Tennessee,3,830.34,-31,-13.5,Florida,0,0,0,239,88,151,5.4,3.3,12,4,3,1,0,1,2,5,0,0,1,1.0,3.0,0.3333333333333333,33.666666666666664,11.333333333333334,394.0,176.66666666666666,217.33333333333334,7.599999999999999,4.333333333333333,21.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,7.333333333333333,6.0,4.0,50.0,0.0,13.666666666666666,17.5,300.6666666666667,93.66666666666667,207.0,2.6,6.933333333333333,18.0,2.0,1.3333333333333333,0.6666666666666666,0.0,1.6666666666666667,4.0,3.0,29.333333333333332,0.0,Tennessee,Florida,22.333333333333332,-18.0,306.0,157.0,149.0,3.6666666666666665,5.466666666666666,19.0,2.0,1.3333333333333333,0.6666666666666666,0.0,1.6666666666666667,6.666666666666667,1.6666666666666667,0.0,0.0
401110846,11,Kentucky,13,672.74,4,-1.5,Tennessee,1,0,0,327,302,25,3.6,4.7,21,1,1,0,0,2,1,0,19,0,1,4.0,8.0,0.5,15.0,16.0,291.75,225.5,66.25,4.799999999999999,5.250000000000001,13.5,1.5,0.25,1.25,0.0,5.0,3.75,4.25,51.75,0.0,Tennessee,17,830.34,4,-1.5,Kentucky,0,1,1,296,83,213,8.5,3.8,13,1,0,1,0,6,2,0,0,0,1,4.0,9.0,0.4444444444444444,26.0,18.75,343.75,139.75,204.0,8.8,3.5000000000000004,18.0,1.25,1.0,0.25,0.5,9.75,3.25,5.0,23.25,0.0,18.0,11.5625,312.75,197.5,115.25,5.175,4.574999999999999,16.25,0.75,0.0,0.75,0.0,1.75,8.5,2.5,12.5,0.0,Tennessee,Kentucky,18.25,8.8125,318.5,100.5,218.0,3.125000000000001,7.200000000000001,19.25,2.0,1.75,0.25,0.5,2.25,9.5,3.0,22.5,0.0
